A0JLT2	Q15648
P40227	P50990
O00232	P62191
P61163	Q9BTE1
P49770	Q9UI10
P62258	P31946
Q8NBJ5	O60568
Q10570	O95639
Q9Y3B2	Q9NPD3
P35998	Q13200
P48556	O75832
Q92922	O75177
Q32P51	P31942
O76094	Q9UHB9
P48556	P55036
Q15019	Q92599
P52907	P47756
Q15311	Q96D71
Q9NVM9	Q96HW7
Q92599	Q99719
O75832	P17980
P49368	Q99832
Q9BUE0	O60244
Q14152	P55884
O00233	P55036
P62191	P62195
J3KPD9 Q32Q12	P13929
Q9Y262	Q14152
P42025	Q9BTE1
P25787	P28070
P40227	P49368
P37108	O76094
P17980	Q9UNM6
Q4VC05	P51532
Q92922	Q92785
Q86YP4	O95983
Q99816	Q9H9H4
Q75N03	Q69YN4
P62487	P62875
Q96MG7	Q96SB8
O43242	O00487
Q8NI27	Q96FV9
P17858	P08237
P25786	P25789
Q92797	Q9UKF6
Q6STE5	O14497
Q15046	P14868
Q92599	Q9NVA2
Q13889	Q13888
P29692	P26641
Q9Y2A7	Q92558
Q969G3	Q92785
Q99613	O15371
Q8NBJ5	O00469
Q96G25	A0JLT2
O00303	Q99613
Q92925	Q4VC05
Q9NX70	Q9Y2X0
J3KPD9 Q32Q12	P62942
Q9H9H4	Q9UK41
Q14103	Q99729
Q92526	P17987
P05423	Q9BUI4
Q9Y6G9	Q14204
Q92797	Q9C0J8
P33992	P33993
P48643	P40227
O95400	Q6P2Q9
Q9UHV9	Q96MX6
Q16401	O00487
P60228	Q9Y262
O00487	P48556
Q9BQE9	Q92925
Q8NBZ0	Q9ULG1
Q04917	P31946
P09622	Q02218
Q6IBW4	Q86XI2
O75448	Q6P2C8
Q92600	Q9UIV1
Q8WYA6	O75934
P35998	P62191
P61163	Q14203
P14868	Q13155
P05423	O15318
